pdb_id,category,difficulty
1AHW_AB_C,AA,0
1DQJ_AB_C,AA,0
1E6J_HL_P,AA,0
1JPS_HL_T,AA,0
1MLC_AB_E,AA,0
1S78_DC_A,AA,0
1VFB_AB_C,AA,0
1WEJ_HL_F,AA,0
2FD6_HL_U,AA,0
2I25_N_L,AS,0
2VIS_AB_C,AA,0
2VXT_HL_I,AA,0
2W9E_HL_A,AA,0
3EOA_LH_I,AA,0
3HMX_LH_AB,AA,0
3MJ9_HL_A,AA,0
3MXW_LH_A,AA,0
3RVW_CD_A,AA,0
3SE8_HL_G,AA,0
3U7Y_HL_G,AA,0
3WD5_HL_ABC,AA,0
4DN4_LH_M,AA,0
4FP8_HL_A,AA,0
4FQI_HL_ABEFCD,AA,0
4G6J_HL_A,AA,0
4G6M_HL_A,AA,0
4GXU_MN_ABEFCD,AA,0
4M5Z_HL_A,AA,0
4Y7M_A_C,AS,0
5GRJ_HL_A,AA,0
5JMO_D_B,AS,0
5O14_HL_A,AA,0
5O1R_HL_A,AA,0
5SV3_C_D,AS,0
5WK3_WV_D,AA,0
5WUX_HL_EFG,AA,0
5X0T_AB_E,AA,0
5Y9J_HL_ABC,AA,0
6A77_HL_A,AA,0
6B0S_HL_C,AA,0
6BPC_EF_D,AA,0
6CWG_B_A,AS,0
6DBG_C_B,AS,0
6OC3_AB_F,AA,0
1AVX_A_B,EI,0
1AY7_A_B,EI,0
1BUH_A_B,EI,0
1BVN_P_T,EI,0
1CLV_A_I,EI,0
1D6R_A_I,EI,0
1DFJ_E_I,EI,0
1E6E_A_B,ES,0
1EAW_A_B,EI,0
1EWY_A_C,ES,0
1EZU_C_AB,EI,0
1F34_A_B,EI,0
1F51_AB_E,ER,0
1FLE_E_I,EI,0
1GL1_A_I,EI,0
1GLA_G_F,ER,0
1GXD_A_C,EI,0
1HIA_AB_I,EI,0
1JTD_B_A,EI,0
1JTG_B_A,EI,0
1JWH_CD_A,ER,0
1MAH_A_F,EI,0
1OC0_A_B,ER,0
1OPH_A_B,EI,0
1OYV_A_I,EI,0
1OYV_B_I,EI,0
1PPE_E_I,EI,0
1R0R_E_I,EI,0
1TMQ_A_B,EI,0
1UDI_E_I,EI,0
1US7_A_B,ER,0
1WDW_BD_A,ER,0
1YVB_A_I,EI,0
1Z5Y_D_E,ES,0
2A1A_B_A,ES,0
2A9K_A_B,ES,0
2ABZ_B_E,EI,0
2AYO_A_B,ER,0
2B42_B_A,EI,0
2GAF_D_A,ER,0
2J0T_A_D,EI,0
2MTA_HL_A,ES,0
2O8V_A_B,ES,0
2OOB_A_B,ES,0
2OOR_AB_C,ER,0
2OUL_A_B,EI,0
2PCC_A_B,ES,0
2SIC_E_I,EI,0
2SNI_E_I,EI,0
2UUY_A_B,EI,0
2YVJ_A_B,ER,0
3A4S_A_D,EI,0
3K75_D_B,ER,0
3LVK_AC_B,ER,0
3PC8_A_C,ER,0
3SGQ_E_I,EI,0
3VLB_A_B,EI,0
4CPA_A_I,EI,0
4H03_A_B,ES,0
4HX3_BD_A,EI,0
7CEI_A_B,EI,0
1A2K_C_AB,OG,0
1AK4_A_D,OX,0
1AKJ_AB_DE,OX,0
1AZS_AB_C,OG,0
1E96_A_B,OG,0
1EFN_B_A,OX,0
1EXB_ABDC_EGFH,OX,0
1FCC_AB_C,OX,0
1FFW_A_B,OX,0
1FQJ_A_B,OG,0
1GCQ_B_C,OX,0
1GHQ_A_B,OR,0
1GPW_A_B,OX,0
1H9D_A_B,OX,0
1HCF_AB_X,OR,0
1HE1_C_A,OG,0
1I4D_D_AB,OG,0
1J2J_A_B,OG,0
1K74_AB_DE,OR,0
1KAC_A_B,OR,0
1KLU_AB_D,OX,0
1KTZ_A_B,OR,0
1KXP_A_D,OX,0
1M27_AB_C,OX,0
1ML0_AB_D,OR,0
1OFU_XY_A,OX,0
1PVH_A_B,OR,0
1QA9_A_B,OX,0
1RLB_ABCD_E,OX,0
1RV6_VW_X,OR,0
1S1Q_A_B,OX,0
1SBB_A_B,OR,0
1T6B_X_Y,OR,0
1XD3_A_B,OX,0
1XU1_ABD_T,OR,0
1Z0K_A_B,OG,0
1ZHH_A_B,OR,0
1ZHI_A_B,OX,0
2A5T_A_B,OX,0
2AJF_A_E,OR,0
2B4J_AB_C,OX,0
2BTF_A_P,OX,0
2FJU_B_A,OG,0
2G77_A_B,OG,0
2GTP_A_D,OG,0
2HLE_A_B,OR,0
2HQS_A_H,OX,0
2VDB_A_B,OX,0
2X9A_D_C,OR,0
3BIW_A_E,OX,0
3BP8_AB_C,OX,0
3D5S_A_C,OX,0
3H2V_A_E,OX,0
3P57_AB_P,OX,0
3P57_CD_P,OX,0
3P57_IJ_P,OX,0
4M76_A_B,OR,0
2DD8_HL_S,AA,1
3EO1_AB_CF,AA,1
3G6D_LH_A,AA,1
3HI6_XY_B,AA,1
3L5W_LH_I,AA,1
3RJQ_B_A,AA,1
3V6Z_AB_F,AA,1
4ETQ_HL_C,AA,1
4M3K_B_A,AS,1
4POU_B_A,AS,1
5CBA_AB_E,AA,1
5E5M_B_A,AS,1
5HGG_T_A,AS,1
5HYS_CD_JK,AA,1
5KOV_C_AB,AA,1
5VNW_D_A,AS,1
5WHK_HL_AB,AA,1
6A0Z_HL_A,AA,1
6AL0_HL_A,AA,1
6EY6_I_AB,AS,1
